11.4 -1.48781 -0.992832 -0.00199272 -1.47714 -0.00296478
11.8 -1.49011 -0.994614 -0.00163051 -1.48208 -0.00242964
12.2 -1.49204 -0.996096 -0.00129602 -1.48622 -0.00193372
12.6 -1.49364 -0.997306 -0.000992251 -1.48962 -0.00148207
13 -1.49494 -0.998276 -0.000721347 -1.49237 -0.00107837
13.4 -1.49598 -0.999036 -0.000484565 -1.49454 -0.0007249
13.8 -1.4968 -0.999616 -0.000282222 -1.49622 -0.000422429
14.2 -1.49743 -1.00005 -0.000113728 -1.4975 -0.0001703
14.6 -1.4979 -1.00036 2.23308e-05 -1.49844 3.34494e-05
15 -1.49826 -1.00057 0.000128068 -1.49911 0.000191878
15.4 -1.49851 -1.00071 0.000206134 -1.49957 0.000308895
15.8 -1.4987 -1.00079 0.000259545 -1.49988 0.00038898
16.2 -1.49883 -1.00083 0.000291509 -1.50007 0.000436922
16.6 -1.49892 -1.00085 0.000305268 -1.50019 0.000457572
17 -1.49898 -1.00085 0.000303969 -1.50025 0.000455645
17.4 -1.49903 -1.00083 0.000290567 -1.50028 0.000435569
17.8 -1.49907 -1.00081 0.000267757 -1.50029 0.000401386
18.2 -1.4991 -1.00079 0.000237946 -1.50029 0.000356703
18.6 -1.49912 -1.00077 0.000203232 -1.50028 0.00030467
19 -1.49914 -1.00075 0.000165422 -1.50027 0.00024799
19.4 -1.49916 -1.00073 0.000126038 -1.50026 0.000188951
19.8 -1.49918 -1.00071 8.635e-05 -1.50025 0.000129454
