0.2 2849.150816
0.4 2849.15108
0.6 2849.151343
0.8 2849.151608
1 2849.151872
1.2 2849.152136
1.4 2849.1524
1.6 2849.152664
1.8 2849.152928
2 2849.153191
2.2 2849.153455
2.4 2849.153719
2.6 2849.153982
2.8 2849.154246
3 2849.154509
3.2 2849.154773
3.4 2849.155036
3.6 2849.1553
3.8 2849.155563
4 2849.155827
4.2 2849.15609
4.4 2849.156354
4.6 2849.156617
4.8 2849.15688
5 2849.157144
5.2 2849.157407
5.4 2849.157671
5.6 2849.157934
5.8 2849.158197
6 2849.158461
6.2 2849.158724
6.4 2849.158987
6.6 2849.159251
6.8 2849.159514
7 2849.159777
7.2 2849.16004
7.4 2849.160304
7.6 2849.160567
7.8 2849.16083
8 2849.161093
8.2 2849.161357
8.4 2849.16162
8.6 2849.161883
8.8 2849.162146
9 2849.16241
9.2 2849.162673
9.4 2849.162936
9.6 2849.163199
9.8 2849.163462
10 2849.163726
10.2 2849.163989
10.4 2849.164252
10.6 2849.164515
10.8 2849.164778
11 2849.165041
11.2 2849.165304
11.4 2849.165567
11.6 2849.165831
11.8 2849.166094
12 2849.166357
12.2 2849.16662
12.4 2849.166883
12.6 2849.167146
12.8 2849.167409
13 2849.167672
13.2 2849.167935
13.4 2849.168198
13.6 2849.168461
13.8 2849.168724
14 2849.168987
14.2 2849.16925
14.4 2849.169513
14.6 2849.169776
14.8 2849.170039
15 2849.170302
15.2 2849.170565
15.4 2849.170828
15.6 2849.171091
15.8 2849.171354
16 2849.171617
16.2 2849.17188
16.4 2849.172142
16.6 2849.172405
16.8 2849.172668
17 2849.172931
17.2 2849.173194
17.4 2849.173457
17.6 2849.17372
17.8 2849.173983
18 2849.174245
18.2 2849.174508
18.4 2849.174771
18.6 2849.175034
18.8 2849.175296
19 2849.175559
19.2 2849.175822
19.4 2849.176085
19.6 2849.176348
19.8 2849.176611
