3.5 500041.343
7 500010.0571
10.5 499985.0861
14 499960.6588
17.5 499935.048
21 499907.6047
24.5 499878.0849
28 499846.425
31.5 499812.6504
35 499776.832
38.5 499739.0649
42 499699.4557
45.5 499658.1162
49 499615.1592
52.5 499570.6955
56 499524.8333
59.5 499477.6767
63 499429.3253
66.5 499379.8739
