-19.8 1.5 1 -6.50965e-13
-19.4 1.5 1 -1.14612e-12
-19 1.5 1 -2.01793e-12
-18.6 1.5 1 -3.55288e-12
-18.2 1.5 1 -6.25539e-12
-17.8 1.5 1 -1.10136e-11
-17.4 1.5 1 -1.93911e-11
-17 1.5 1 -3.4141e-11
-16.6 1.5 1 -6.01105e-11
-16.2 1.5 1 -1.05834e-10
-15.8 1.5 1 -1.86337e-10
-15.4 1.5 1 -3.28075e-10
-15 1.5 1 -5.77626e-10
-14.6 1.5 1 -1.017e-09
-14.2 1.5 1 -1.79058e-09
-13.8 1.5 1 -3.1526e-09
-13.4 1.5 1 -5.55064e-09
-13 1.5 1 -9.77275e-09
-12.6 1.5 1 -1.72064e-08
-12.2 1.5 1 -3.02946e-08
-11.8 1.5 1 -5.33383e-08
-11.4 1.5 1 -9.39102e-08
-11 1.5 1 -1.65343e-07
-10.6 1.5 1 -2.91112e-07
-10.2 1.5 0.999999 -5.12548e-07
-9.8 1.5 0.999999 -9.02419e-07
-9.4 1.5 0.999998 -1.58884e-06
-9 1.49999 0.999996 -2.7974e-06
-8.6 1.49999 0.999993 -4.92522e-06
-8.2 1.49998 0.999988 -8.67151e-06
-7.8 1.49997 0.999978 -1.52673e-05
-7.4 1.49994 0.999962 -2.68795e-05
-7 1.4999 0.999933 -4.73227e-05
-6.6 1.49982 0.999882 -8.33104e-05
-6.2 1.49969 0.999793 -0.000146655
-5.8 1.49945 0.999635 -0.000258126
-5.4 1.49904 0.999357 -0.000454219
-5 1.4983 0.998868 -0.00079894
-4.6 1.49702 0.998008 -0.00140423
-4.2 1.49476 0.996496 -0.00246487
-3.8 1.49081 0.993839 -0.00431663
-3.4 1.48394 0.989178 -0.0075287
-3 1.47207 0.981026 -0.0130364
-2.6 1.45187 0.966847 -0.0222856
-2.2 1.41835 0.942431 -0.0372353
-1.8 1.36513 0.901204 -0.0596987
-1.4 1.28678 0.834302 -0.0887348
-1 1.18535 0.734556 -0.114281
-0.6 1.08021 0.611377 -0.110061
-0.2 1.00987 0.514658 -0.0482132
0.2 1.00987 0.514658 0.0482132
0.6 1.08021 0.611377 0.110061
1 1.18535 0.734556 0.114281
1.4 1.28678 0.834302 0.0887348
1.8 1.36513 0.901204 0.0596987
2.2 1.41835 0.942431 0.0372353
2.6 1.45187 0.966847 0.0222856
3 1.47207 0.981026 0.0130364
3.4 1.48394 0.989178 0.0075287
3.8 1.49081 0.993839 0.00431663
4.2 1.49476 0.996496 0.00246487
4.6 1.49702 0.998008 0.00140423
5 1.4983 0.998868 0.00079894
5.4 1.49904 0.999357 0.000454219
5.8 1.49945 0.999635 0.000258126
6.2 1.49969 0.999793 0.000146655
6.6 1.49982 0.999882 8.33104e-05
7 1.4999 0.999933 4.73227e-05
7.4 1.49994 0.999962 2.68795e-05
7.8 1.49997 0.999978 1.52673e-05
8.2 1.49998 0.999988 8.67151e-06
8.6 1.49999 0.999993 4.92522e-06
9 1.49999 0.999996 2.7974e-06
9.4 1.5 0.999998 1.58884e-06
9.8 1.5 0.999999 9.02419e-07
10.2 1.5 0.999999 5.12548e-07
10.6 1.5 1 2.91112e-07
11 1.5 1 1.65343e-07
11.4 1.5 1 9.39102e-08
11.8 1.5 1 5.33383e-08
12.2 1.5 1 3.02946e-08
12.6 1.5 1 1.72064e-08
13 1.5 1 9.77275e-09
13.4 1.5 1 5.55064e-09
13.8 1.5 1 3.1526e-09
14.2 1.5 1 1.79058e-09
14.6 1.5 1 1.017e-09
15 1.5 1 5.77626e-10
15.4 1.5 1 3.28075e-10
15.8 1.5 1 1.86337e-10
16.2 1.5 1 1.05834e-10
16.6 1.5 1 6.01105e-11
17 1.5 1 3.4141e-11
17.4 1.5 1 1.93911e-11
17.8 1.5 1 1.10136e-11
18.2 1.5 1 6.25539e-12
18.6 1.5 1 3.55288e-12
19 1.5 1 2.01793e-12
19.4 1.5 1 1.14612e-12
19.8 1.5 1 6.50965e-13
